================ Training Loss (Sat Mar  9 23:23:53 2024) ================
(epoch: 21, iters: 40, time: 0.389, data: 0.001) D_A: 0.178 G_A: 0.519 cycle_A: 1.286 idt_A: 0.731 D_B: 0.234 G_B: 0.247 cycle_B: 1.781 idt_B: 0.734 
(epoch: 21, iters: 140, time: 0.125, data: 0.001) D_A: 0.074 G_A: 0.735 cycle_A: 0.739 idt_A: 1.551 D_B: 0.184 G_B: 0.281 cycle_B: 2.697 idt_B: 0.303 
(epoch: 22, iters: 42, time: 0.125, data: 0.001) D_A: 0.236 G_A: 0.370 cycle_A: 1.590 idt_A: 1.019 D_B: 0.254 G_B: 0.524 cycle_B: 1.796 idt_B: 0.536 
(epoch: 22, iters: 142, time: 0.125, data: 0.001) D_A: 0.086 G_A: 0.573 cycle_A: 1.587 idt_A: 0.424 D_B: 0.228 G_B: 0.205 cycle_B: 0.914 idt_B: 0.725 
(epoch: 23, iters: 44, time: 0.389, data: 0.001) D_A: 0.159 G_A: 0.268 cycle_A: 2.698 idt_A: 1.058 D_B: 0.124 G_B: 0.672 cycle_B: 2.254 idt_B: 1.316 
(epoch: 23, iters: 144, time: 0.125, data: 0.001) D_A: 0.260 G_A: 0.117 cycle_A: 1.337 idt_A: 0.567 D_B: 0.273 G_B: 0.705 cycle_B: 1.307 idt_B: 0.637 
(epoch: 24, iters: 46, time: 0.125, data: 0.001) D_A: 0.264 G_A: 0.062 cycle_A: 0.903 idt_A: 0.541 D_B: 0.257 G_B: 0.923 cycle_B: 1.577 idt_B: 0.461 
(epoch: 24, iters: 146, time: 0.125, data: 0.001) D_A: 0.387 G_A: 0.238 cycle_A: 1.402 idt_A: 0.585 D_B: 0.269 G_B: 0.241 cycle_B: 1.654 idt_B: 0.727 
(epoch: 25, iters: 48, time: 0.394, data: 0.001) D_A: 0.217 G_A: 0.135 cycle_A: 2.168 idt_A: 0.885 D_B: 0.207 G_B: 0.822 cycle_B: 2.687 idt_B: 0.792 
(epoch: 25, iters: 148, time: 0.125, data: 0.001) D_A: 0.508 G_A: 0.074 cycle_A: 0.756 idt_A: 0.492 D_B: 0.257 G_B: 0.323 cycle_B: 1.024 idt_B: 0.288 
(epoch: 26, iters: 50, time: 0.125, data: 0.001) D_A: 0.484 G_A: 0.808 cycle_A: 1.813 idt_A: 0.669 D_B: 0.181 G_B: 0.428 cycle_B: 1.974 idt_B: 0.978 
(epoch: 26, iters: 150, time: 0.125, data: 0.001) D_A: 0.263 G_A: 0.942 cycle_A: 0.957 idt_A: 0.624 D_B: 0.198 G_B: 0.457 cycle_B: 1.528 idt_B: 0.351 
(epoch: 27, iters: 52, time: 0.443, data: 0.001) D_A: 0.186 G_A: 0.403 cycle_A: 0.821 idt_A: 0.453 D_B: 0.285 G_B: 0.152 cycle_B: 1.136 idt_B: 0.380 
(epoch: 27, iters: 152, time: 0.125, data: 0.001) D_A: 0.246 G_A: 0.230 cycle_A: 0.737 idt_A: 0.358 D_B: 0.447 G_B: 0.097 cycle_B: 0.953 idt_B: 0.329 
(epoch: 28, iters: 54, time: 0.125, data: 0.001) D_A: 0.294 G_A: 0.066 cycle_A: 0.752 idt_A: 0.587 D_B: 0.360 G_B: 0.772 cycle_B: 1.158 idt_B: 0.292 
(epoch: 28, iters: 154, time: 0.125, data: 0.001) D_A: 0.139 G_A: 0.387 cycle_A: 1.366 idt_A: 0.485 D_B: 0.221 G_B: 0.368 cycle_B: 1.111 idt_B: 0.646 
(epoch: 29, iters: 56, time: 0.445, data: 0.001) D_A: 0.287 G_A: 0.328 cycle_A: 1.069 idt_A: 0.583 D_B: 0.277 G_B: 0.122 cycle_B: 1.235 idt_B: 0.527 
(epoch: 29, iters: 156, time: 0.125, data: 0.001) D_A: 0.188 G_A: 0.336 cycle_A: 1.613 idt_A: 0.353 D_B: 0.259 G_B: 0.524 cycle_B: 1.221 idt_B: 0.605 
(epoch: 30, iters: 58, time: 0.125, data: 0.001) D_A: 0.168 G_A: 0.356 cycle_A: 1.799 idt_A: 0.904 D_B: 0.227 G_B: 0.621 cycle_B: 1.913 idt_B: 0.566 
(epoch: 30, iters: 158, time: 0.125, data: 0.001) D_A: 0.198 G_A: 0.265 cycle_A: 0.732 idt_A: 0.625 D_B: 0.230 G_B: 0.383 cycle_B: 1.495 idt_B: 0.508 
(epoch: 31, iters: 60, time: 0.424, data: 0.001) D_A: 0.375 G_A: 0.852 cycle_A: 0.890 idt_A: 0.599 D_B: 0.141 G_B: 0.515 cycle_B: 1.056 idt_B: 0.305 
(epoch: 31, iters: 160, time: 0.125, data: 0.001) D_A: 0.118 G_A: 0.665 cycle_A: 0.747 idt_A: 0.526 D_B: 0.200 G_B: 0.241 cycle_B: 1.014 idt_B: 0.329 
(epoch: 32, iters: 62, time: 0.125, data: 0.001) D_A: 0.201 G_A: 0.193 cycle_A: 0.652 idt_A: 0.625 D_B: 0.165 G_B: 0.531 cycle_B: 1.090 idt_B: 0.263 
(epoch: 32, iters: 162, time: 0.125, data: 0.001) D_A: 0.106 G_A: 0.413 cycle_A: 0.913 idt_A: 0.632 D_B: 0.237 G_B: 0.262 cycle_B: 1.878 idt_B: 0.454 
(epoch: 33, iters: 64, time: 0.452, data: 0.001) D_A: 0.202 G_A: 0.229 cycle_A: 1.247 idt_A: 0.353 D_B: 0.314 G_B: 0.275 cycle_B: 0.869 idt_B: 0.406 
